=== HPA scale-out proof ===
load profile : scripts/load.js (k6, POST /api/chat)
hpa          : shipyard-docuchat-api (namespace docuchat)
peak replicas: 8

--- HPA samples (1s interval) ---
time      replicas  cpu-target  ready-pods
17:49:19         2           2           2
17:49:21         2           2           2
17:49:22         2           2           2
17:49:24         2           2           2
17:49:25         2           2           2
17:49:26         2           2           2
17:49:28         2           2           2
17:49:30         2           2           2
17:49:31         2           2           2
17:49:32         2           1           2
17:49:34         2           1           2
17:49:35         2           1           2
17:49:37         2           1           2
17:49:38         2           1           2
17:49:40         2           1           2
17:49:41         2           1           2
17:49:42         2           1           2
17:49:44         2           1           2
17:49:45         2           1           2
17:49:47         2           1           2
17:49:48         2          19           2
17:49:50         2          19           2
17:49:51         2          19           2
17:49:52         2          19           2
17:49:54         2          19           2
17:49:55         2          19           2
17:49:57         2          19           2
17:49:58         2          19           2
17:50:00         2          19           2
17:50:01         2          19           2
17:50:02         4          93           2
17:50:04         4          93           2
17:50:05         4          93           4
17:50:07         4          93           4
17:50:08         4          93           4
17:50:10         4          93           4
17:50:11         4          93           4
17:50:13         4          93           4
17:50:14         4          93           4
17:50:16         4          93           4
17:50:17         4          93           4
17:50:19         6         162           4
17:50:20         6         162           6
17:50:22         6         162           6
17:50:23         6         162           6
17:50:24         6         162           6
17:50:26         6         162           6
17:50:27         6         162           6
17:50:29         6         162           6
17:50:30         6         162           6
17:50:32         6         162           6
17:50:33         6         195           6
17:50:35         6         195           6
17:50:36         6         195           6
17:50:37         6         195           6
17:50:39         6         195           6
17:50:40         6         195           6
17:50:42         6         195           6
17:50:43         6         195           6
17:50:45         6         195           6
17:50:46         6         195           6
17:50:48         8         130           6
17:50:49         8         130           6
17:50:51         8         130           8
17:50:52         8         130           8
17:50:54         8         130           8
17:50:55         8         130           8
17:50:57         8         130           8
17:50:58         8         130           8
17:51:00         8         130           8
17:51:01         8         130           8
17:51:03         8          98           8
17:51:04         8          98           8
17:51:05         8          98           8
17:51:07         8          98           8
17:51:08         8          98           8
17:51:10         8          98           8
17:51:11         8          98           8
17:51:13         8          98           8
17:51:14         8          98           8
17:51:16         8          98           8
17:51:17         8          98           8
17:51:19         8          97           8
17:51:20         8          97           8
17:51:22         8          97           8
17:51:23         8          97           8
17:51:25         8          97           8
17:51:26         8          97           8
17:51:27         8          97           8
17:51:29         8          97           8
17:51:30         8          97           8
17:51:32         8          97           8
17:51:33         8          82           8
17:51:35         8          82           8
17:51:36         8          82           8
17:51:38         8          82           8
17:51:39         8          82           8
17:51:41         8          82           8
17:51:42         8          82           8
17:51:44         8          82           8
17:51:45         8          82           8
17:51:47         8          82           8
17:51:48         8          80           8
17:51:50         8          80           8
17:51:51         8          80           8
17:51:52         8          80           8
17:51:54         8          80           8
17:51:55         8          80           8
17:51:57         8          80           8
17:51:58         8          80           8
17:52:00         8          80           8
17:52:01         8          80           8
17:52:03         8          79           8
17:52:04         8          79           8
17:52:06         8          79           8
17:52:07         8          79           8
17:52:09         8          79           8
17:52:10         8          79           8
17:52:11         8          79           8
17:52:13         8          79           8
17:52:14         8          79           8
17:52:16         8          79           8
17:52:17         8          79           8
17:52:19         8          79           8
17:52:21         8          79           8
17:52:22         8          79           8
17:52:24         8          79           8
17:52:25         8          79           8
17:52:27         8          79           8
17:52:28         8          79           8
17:52:30         8          79           8
17:52:31         8          79           8
17:52:33         8          78           8
17:52:34         8          78           8
17:52:36         8          78           8
17:52:37         8          78           8
17:52:39         8          78           8
17:52:40         8          78           8
17:52:41         8          78           8
17:52:43         8          78           8
17:52:44         8          78           8
17:52:46         8          78           8
17:52:47         8          78           8
17:52:49         8          89           8
17:52:50         8          89           8
17:52:52         8          89           8
17:52:53         8          89           8
17:52:55         8          89           8
17:52:56         8          89           8
17:52:58         8          89           8
17:52:59         8          89           8
17:53:01         8          89           8
17:53:02         8          89           8
17:53:04         8          80           8
17:53:05         8          80           8
17:53:06         8          80           8
17:53:08         8          80           8
17:53:09         8          80           8
17:53:11         8          80           8
17:53:12         8          80           8
17:53:14         8          80           8
17:53:15         8          80           8
17:53:16         8          80           8
17:53:18         8          57           8
17:53:19         8          57           8

--- k6 summary ---

  тЦИ TOTAL RESULTS 

    checks_total.......: 41972   174.537546/s
    checks_succeeded...: 100.00% 41972 out of 41972
    checks_failed......: 0.00%   0 out of 41972

    тЬУ status is 200

    HTTP
    http_req_duration..............: avg=498.25ms min=250.31ms med=503.43ms max=810.51ms p(90)=687.34ms p(95)=690.51ms
      { expected_response:true }...: avg=498.25ms min=250.31ms med=503.43ms max=810.51ms p(90)=687.34ms p(95)=690.51ms
    http_req_failed................: 0.00%  0 out of 41972
    http_reqs......................: 41972  174.537546/s

    EXECUTION
    iteration_duration.............: avg=698.68ms min=450.52ms med=703.82ms max=1.01s    p(90)=887.8ms  p(95)=890.93ms
    iterations.....................: 41972  174.537546/s
    vus............................: 3      min=3          max=150
    vus_max........................: 150    min=150        max=150

    NETWORK
    data_received..................: 41 MB  172 kB/s
    data_sent......................: 7.7 MB 32 kB/s




running (4m00.5s), 000/150 VUs, 41972 complete and 0 interrupted iterations
default тЬУ [ 100% ] 000/150 VUs  4m0s

--- scale-in after the load stopped (sampled every 5s) ---
time      replicas  cpu-target
17:54:08         8           1
17:54:13         8           1
17:54:18         6           1
17:54:24         6           1
17:54:29         6           1
17:54:34         4           1
17:54:39         4           1
17:54:45         4           1
17:54:50         3           1
17:54:55         3           1
17:55:00         3           1
17:55:06         2           1
reached minReplicas=2
